,Unnamed: 0,ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
0,4162,4163,61,37,41,94704,,0/80,Bach,0,0,0,0,1,1
1,74,75,28,3,135,94611,2.0,3/30,,0,0,0,0,0,1
2,111,112,62,38,45,94143,4.0,1/30,Master,0,0,0,0,1,0
3,3321,3322,41,15,120,94521,,5/20,Bach,0,0,0,0,1,0
4,3847,3848,43,18,94,94110,4.0,1/10,,0,0,0,0,0,0
5,3372,3373,55,29,81,94928,4.0,4/90,,209,0,0,0,1,0
6,4271,4272,25,1,150,92507,1.0,6/33,Bach,0,0,0,0,0,0
7,3107,3108,41,17,55,92374,,1/70,Bach,0,0,0,0,0,0
8,1663,1664,57,32,42,95070,,0/50,Master,0,0,1,0,1,0
9,401,402,29,2,30,95747,,1/50,,112,0,0,0,0,1
10,3591,3592,58,32,73,94109,2.0,2/30,PhD,224,0,0,0,1,1
11,2287,2288,30,6,29,92121,,0/20,PhD,90,0,0,0,1,0
12,30,31,59,35,35,93106,,1/20,PhD,122,0,0,0,1,0
13,4203,4204,59,33,88,93106,,1/90,Master,0,0,0,0,0,0
14,1070,1071,36,9,40,90840,2.0,1/00,Master,0,0,0,0,1,0
15,2413,2414,60,34,31,91007,2.0,1/00,PhD,0,0,0,0,0,0
16,3675,3676,60,34,110,92126,,2/00,Bach,0,0,0,0,1,0
17,4317,4318,58,33,60,92672,4.0,1/30,PhD,0,0,0,0,1,0
18,1277,1278,45,20,194,92110,2.0,8/80,Bach,428,0,0,0,0,0
19,4781,4782,35,9,25,94526,,0/10,Master,0,0,1,0,1,0
20,895,896,43,17,84,94608,,2/60,PhD,289,0,1,1,1,1
21,344,345,54,24,63,92606,,1/40,PhD,138,0,0,0,1,1
22,4181,4182,47,22,22,90024,,0/40,PhD,0,0,0,0,1,0
23,3982,3983,24,0,119,94566,1.0,1/50,Bach,0,0,0,0,1,0
24,1066,1067,30,5,125,90016,,0/50,PhD,0,1,0,1,1,0
25,4240,4241,39,14,161,95064,,4/10,,509,0,1,0,0,0
26,3851,3852,46,21,99,90277,2.0,3/80,PhD,194,0,0,0,1,0
27,3316,3317,56,26,63,94501,3.0,2/00,PhD,0,0,0,0,1,0
28,3057,3058,42,18,45,95616,1.0,0/70,Bach,0,0,1,0,1,0
29,3509,3510,38,12,61,91330,3.0,0/90,PhD,0,0,0,0,0,0
30,3987,3988,62,36,19,95833,,0/20,PhD,0,0,0,0,1,1
31,1237,1238,38,13,169,92093,1.0,6/80,,0,1,0,1,1,1
32,4024,4025,41,15,82,94720,3.0,0/10,Bach,0,0,0,0,1,0
33,2901,2902,54,30,21,95351,,0/10,Master,76,0,0,0,1,0
34,2577,2578,55,29,78,95521,1.0,0/80,PhD,190,0,0,0,1,0
35,2959,2960,38,12,43,94305,4.0,0/20,Bach,0,0,0,0,0,0
36,3874,3875,36,12,92,94709,2.0,0/00,,184,0,0,0,0,0
37,474,475,60,34,114,90028,,6/90,Bach,0,0,0,0,1,0
38,3891,3892,65,40,63,94701,3.0,0/50,Master,0,0,0,0,1,0
39,688,689,44,20,71,94304,4.0,1/90,Bach,207,0,0,0,1,0
40,4667,4668,52,28,72,94720,1.0,1/60,PhD,0,0,0,0,1,0
41,3642,3643,55,29,21,92704,,0/70,PhD,0,0,1,0,1,0
42,2981,2982,53,28,85,92037,,1/20,Bach,0,0,0,0,0,0
43,4682,4683,55,25,44,92093,3.0,1/00,PhD,0,0,0,0,1,0
